,Element,Unnamed: 0,Unnamed: 0.1,ecut,energy,force,k-points,supercell,num_cu,num_sn,num_atom,con_formation_energy_per_atom,formation_energy_per_atom
22,Sn,7,7.0,45,-12052.741171828677,0.00035995457719309475,9,1,0,2,2,0.0015047902052174322,0.0
26,Cu3Sn,46,4.0,45,-25896.321892894503,0.0,10,1,3,1,4,0.05957545719797963,0.05156663310322074
27,CuSn3,47,5.0,45,-24701.586141408512,0.0002313993710527037,10,1,1,3,4,0.23154134450942365,0.22845322520515765
25,Sn,9,9.0,45,-12052.742925875269,0.00035995457719309475,10,1,0,2,2,0.0006277669090195559,0.0
24,Cu,8,8.0,45,-6623.385565496427,0.0,10,1,1,0,1,0.010469176490005339,0.0
23,CuSn,45,3.0,45,-25299.574124120285,0.0,10,1,2,2,4,-0.00946834134083474,-0.015016813040347188
32,Sn,11,11.0,45,-12052.743867797746,0.00035995457719309475,11,1,0,2,2,0.00015680567048548255,0.0
31,Cu,10,10.0,45,-6623.399592971134,0.0,11,1,1,0,1,-0.003558298216375988,0.0
30,Cu3Sn,49,7.0,45,-25896.32761341025,2.5711041228078197e-05,11,1,3,1,4,0.058145328261389295,0.060774850506049916
29,CuSn3,50,8.0,45,-24701.57693252784,5.1422082456156395e-05,11,1,1,3,4,0.23384356467704492,0.23461553497782006
28,CuSn,48,6.0,45,-25299.58332279669,0.0,11,1,2,2,4,-0.011768010442210652,-0.0100672641692654
34,Cu3Sn,52,10.0,45,-25896.337040526327,2.5711041228078197e-05,12,1,3,1,4,0.05578854924192456,0.04340824837254331
33,CuSn3,53,11.0,45,-24701.57583019417,0.00010284416491231279,12,1,1,3,4,0.23411914809457812,0.23000254005910392
37,Sn,13,13.0,45,-12052.744211885853,0.00035995457719309475,12,1,0,2,2,-1.523838272987632e-05,0.0
35,CuSn,51,9.0,45,-25299.584865274683,0.0,12,1,2,2,4,-0.012153629940257815,-0.020402084392117104
36,Cu,12,12.0,45,-6623.379522525631,0.0,12,1,1,0,1,0.016512147286448453,0.0
42,Cu,14,14.0,45,-6623.400788503822,0.0,13,1,1,0,1,-0.004753830904519418,0.0
38,Cu3Sn,55,13.0,45,-25896.318179899496,2.5711041228078197e-05,13,1,3,1,4,0.06050370594971355,0.06408452159575972
39,Sn,15,15.0,45,-12052.744304948828,0.00035995457719309475,13,1,0,2,2,-6.176987062644912e-05,0.0
40,CuSn3,56,14.0,45,-24701.5776268266,0.00017997728859654738,13,1,1,3,4,0.23366998998699273,0.23490477511586505
